X,Y,Id,name,longitude,latitude,Area(Ha),nombre
-79.367753260000001,-4.328416721000000,"1",Laguidium_ahuacaense,-79.367753260000001,-4.328416721000000,5.000,D
-79.354006409999997,-4.303192886000000,"3",Laguidium_ahuacaense,-79.354006409999997,-4.303192886000000,5.000,J
-79.356862140000004,-4.282083420000000,"4",Laguidium_ahuacaense,-79.356862140000004,-4.282083420000000,5.000,F
-79.347303010000005,-4.257583233000000,"5",Laguidium_ahuacaense,-79.347303010000005,-4.257583233000000,5.000,I
-79.387591950000001,-4.571974682000000,"9",Laguidium_ahuacaense,-79.387591950000001,-4.571974682000000,30.000,CP
-79.347407709999999,-4.317855453000000,"10",Laguidium_ahuacaense,-79.347407709999999,-4.317855453000000,5.000,K
-79.336171890000003,-4.243868088000000,"11",Laguidium_ahuacaense,-79.336171890000003,-4.243868088000000,5.000,B
-79.348718779999999,-4.373581605000000,"12",Laguidium_ahuacaense,-79.348718779999999,-4.373581605000000,5.000,A
-79.273309999999995,-4.318235000000000,"13",Lagidium_ahuacaense,-79.273309999999995,-4.318235000000000,5.000,L
-79.338329999999999,-4.258286000000000,"14",Lagidium_ahuacaense,-79.338329999999999,-4.258286000000000,15.000,PCH
-79.346186959999997,-4.302646340000000,"18",Lagidium_ahuacaense,-79.346186959999997,-4.302646340000000,5.000,G
-79.549916010192803,-4.309138475062422,"22",Lagidium_ahuacaense,-79.546796130000004,-4.309044290000000,20.000,CA
-79.383939999999996,-4.334240000000001,"25",Lagidium_ahuacaense,-79.383939999999996,-4.334240000000001,5.000,H
-79.336738999999994,-4.201828000000000,"27",Lagidium_ahuacaense,-79.336738999999994,-4.201828000000000,,PCH
-79.358329999999995,-4.186730000000000,"28",Lagidium_ahuacaense,-79.358329999999995,-4.186730000000000,,PL
-79.391322000000002,-4.562302000000000,"30",Lagidium_ahuacaense,-79.391322000000002,-4.562302000000000,,L2
